order_id;sum;date;payment_form;shipping;shipping_cost;discount;postcode;city;country;product_id 1;product_name 1;product_code 1;product_price 1;product_discount 1;product_quantity 1;product_value 1;product_pkwiu 1;product_tax 1;product_tax_value 1;product_id 2;product_name 2;product_code 2;product_price 2;product_discount 2;product_quantity 2;product_value 2;product_pkwiu 2;product_tax 2;product_tax_value 2;product_id 3;product_name 3;product_code 3;product_price 3;product_discount 3;product_quantity 3;product_value 3;product_pkwiu 3;product_tax 3;product_tax_value 3;product_id 4;product_name 4;product_code 4;product_price 4;product_discount 4;product_quantity 4;product_value 4;product_pkwiu 4;product_tax 4;product_tax_value 4;product_id 5;product_name 5;product_code 5;product_price 5;product_discount 5;product_quantity 5;product_value 5;product_pkwiu 5;product_tax 5;product_tax_value 5;product_id 6;product_name 6;product_code 6;product_price 6;product_discount 6;product_quantity 6;product_value 6;product_pkwiu 6;product_tax 6;product_tax_value 6;product_id 7;product_name 7;product_code 7;product_price 7;product_discount 7;product_quantity 7;product_value 7;product_pkwiu 7;product_tax 7;product_tax_value 7;product_id 8;product_name 8;product_code 8;product_price 8;product_discount 8;product_quantity 8;product_value 8;product_pkwiu 8;product_tax 8;product_tax_value 8;product_id 9;product_name 9;product_code 9;product_price 9;product_discount 9;product_quantity 9;product_value 9;product_pkwiu 9;product_tax 9;product_tax_value 9;product_id 10;product_name 10;product_code 10;product_price 10;product_discount 10;product_quantity 10;product_value 10;product_pkwiu 10;product_tax 10;product_tax_value 10;product_id 11;product_name 11;product_code 11;product_price 11;product_discount 11;product_quantity 11;product_value 11;product_pkwiu 11;product_tax 11;product_tax_value 11;product_id 12;product_name 12;product_code 12;product_price 12;product_discount 12;product_quantity 12;product_value 12;product_pkwiu 12;product_tax 12;product_tax_value 12;product_id 13;product_name 13;product_code 13;product_price 13;product_discount 13;product_quantity 13;product_value 13;product_pkwiu 13;product_tax 13;product_tax_value 13;product_id 14;product_name 14;product_code 14;product_price 14;product_discount 14;product_quantity 14;product_value 14;product_pkwiu 14;product_tax 14;product_tax_value 14;product_id 15;product_name 15;product_code 15;product_price 15;product_discount 15;product_quantity 15;product_value 15;product_pkwiu 15;product_tax 15;product_tax_value 15
220;109.99;2022-10-20 00:21;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;64-300;Nowy Tomyśl;Polska;314;LEGO 6875 Hovercraft [Space: Futuron];314;109.99;0.0000;1;109.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
221;229.99;2022-10-21 23:11;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;32-085;Modlniczka;Polska;336;LEGO 6038 Wolfpack Renegades [Castle: Wolfpack] z instrukcją;336;229.99;0.0000;1;229.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222;218.98;2022-10-22 05:33;Allegro;Allegro: Allegro Paczkomaty InPost;8.99;0;40-486;Katowice;Polska;104;LEGO 6345 Aerial Acrobats [Classic Town: Airport];104;209.99;0.0000;1;209.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;149.98;2022-10-22 18:03;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;39-340;Padew Narodowa;Polska;315;LEGO 6811 Pulsar Charger [M: Tron] z instrukcją i pudełkiem;315;89.99;0.0000;1;89.99;;zw.;0;61;LEGO 6813 Galactic Chief [Space: Space Police II] z instrukcją;61;59.99;0.0000;1;59.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
226;99.99;2022-10-23 12:50;BLIK;Punkt odbioru DPD Pickup;10.00;0;43-100;Tychy;Polska;355;LEGO 6672 Safari Off-Road Vehicle (Safari Off Road Vehicle/Safari Truck) [Classic Town: Off-Road] z instrukcją;355;89.99;0.0000;1;89.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
227;79.99;2022-10-25 14:14;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;05-530;Góra Kalwaria;Polska;286;LEGO 6669 Diesel Daredevil [Classic Town: Race] z instrukcją;272;79.99;0.0000;1;79.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
229;118.98;2022-10-25 14:53;Allegro;Allegro: Allegro Paczkomaty InPost;8.99;0;32-020;WIELICZKA;Polska;231;LEGO 6662 Backhoe [Classic Town: Construction];231;109.99;0.0000;1;109.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
230;209.99;2022-10-30 10:31;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;10-066;Olsztyn;Polska;139;LEGO 6898 Ice-Sat V [Space: Ice Planet 2002] z instrukcją i pudełkiem;139;209.99;0.0000;1;209.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
231;114.97;2022-10-31 19:02;BLIK;Punkt odbioru DPD Pickup;10.00;0;02-495;Warszawa;Polska;361;LEGO 80547pb01 Baseplate, Road 32 x 32 7-Stud Straight with Road with White Sidelines Pattern;361;34.99;0.0000;3;104.97;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
233;229.99;2022-10-31 19:20;Allegro;Allegro: Allegro Paczkomaty InPost;0.00;0;62-410;Zagórów;Polska;59;LEGO 6716 Weapons Wagon [Western: Cowboys] z instrukcją i pudełkiem SHIFTY;59;229.99;0.0000;1;229.99;;zw.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
